subj,trial,round,menu,menu_position_1,menu_position_2,true_answer,condition,reinforcer,money_prob_1,money_prob_2,time_onset,time_choose,rt,choose,islie,session,diff,former_lie,former_honest,former_diff
101,1,1,1,1,37,1,enhance_honesty,4,8,4,0,1.5512435,1.5512435,1,0,1,-4,0,0,0
101,2,1,25,25,61,25,enhance_honesty,2,4,2,6.8218147,8.5970105,1.7751958,25,0,1,-2,0,0,0
101,3,1,6,6,42,6,enhance_random,6,9,3,13.2628584,14.9976778,1.7348194,6,0,1,-6,0,0,0
101,4,1,2,38,2,2,enhance_lie,8,9,1,21.9755247,24.3349926,2.3594679,38,1,1,8,0,0,0
101,5,1,9,45,9,9,enhance_random,6,1,7,28.4680934,30.0935395,1.6254461,9,0,1,-6,0,0,0
101,6,1,26,26,62,26,enhance_lie,8,1,9,34.5181783,36.318413,1.8002347,62,1,1,8,0,0,0
101,7,1,28,28,64,28,enhance_honesty,4,7,3,42.5636965,44.4457346,1.8820381,28,0,1,-4,0,0,0
101,8,1,27,63,27,27,enhance_random,8,9,1,49.8916569,51.6523194,1.7606625,63,1,1,8,0,0,0
101,9,1,22,58,22,22,enhance_honesty,6,1,7,57.9984376,59.3579827,1.3595451,22,0,1,-6,0,0,0
101,10,1,3,3,39,3,enhance_random,8,9,1,65.7629757,67.1044312,1.3414555,3,0,1,-8,0,0,0